iter    1 | reward:   4 |  update_factor: 0.020000  lr: 0.199000 | sum_coeffs: -510 sum_abs_coeffs: 434128
iter    2 | reward:   5 |  update_factor: 0.019920  lr: 0.198005 | sum_coeffs: -643 sum_abs_coeffs: 438863
iter    3 | reward:   6 |  update_factor: 0.019840  lr: 0.197015 | sum_coeffs: -653 sum_abs_coeffs: 443237
iter    4 | reward:   7 |  update_factor: 0.019761  lr: 0.196030 | sum_coeffs: -611 sum_abs_coeffs: 447329
iter    5 | reward:   6 |  update_factor: 0.019682  lr: 0.195050 | sum_coeffs: -507 sum_abs_coeffs: 452092
iter    6 | reward:   7 |  update_factor: 0.019603  lr: 0.194075 | sum_coeffs: -617 sum_abs_coeffs: 456600
iter    7 | reward:  10 |  update_factor: 0.019524  lr: 0.193104 | sum_coeffs: -477 sum_abs_coeffs: 460517
iter    8 | reward:  15 |  update_factor: 0.019446  lr: 0.192139 | sum_coeffs: -252 sum_abs_coeffs: 464841
iter    9 | reward:  14 |  update_factor: 0.019368  lr: 0.191178 | sum_coeffs: -311 sum_abs_coeffs: 470021
iter   10 | reward:  16 |  update_factor: 0.019291  lr: 0.190222 | sum_coeffs: -224 sum_abs_coeffs: 473254
iter   11 | reward:  18 |  update_factor: 0.019213  lr: 0.189271 | sum_coeffs: -213 sum_abs_coeffs: 475983
iter   12 | reward:  21 |  update_factor: 0.019137  lr: 0.188325 | sum_coeffs: -107 sum_abs_coeffs: 479392
iter   13 | reward:  19 |  update_factor: 0.019060  lr: 0.187383 | sum_coeffs: -181 sum_abs_coeffs: 484278
iter   14 | reward:  19 |  update_factor: 0.018984  lr: 0.186446 | sum_coeffs: 52 sum_abs_coeffs: 487675
iter   15 | reward:  23 |  update_factor: 0.018908  lr: 0.185514 | sum_coeffs: -50 sum_abs_coeffs: 491579
iter   16 | reward:  22 |  update_factor: 0.018832  lr: 0.184586 | sum_coeffs: -228 sum_abs_coeffs: 495749
iter   17 | reward:  19 |  update_factor: 0.018756  lr: 0.183663 | sum_coeffs: -30 sum_abs_coeffs: 500215
iter   18 | reward:  22 |  update_factor: 0.018681  lr: 0.182745 | sum_coeffs: -103 sum_abs_coeffs: 503640
iter   19 | reward:  21 |  update_factor: 0.018607  lr: 0.181831 | sum_coeffs: -352 sum_abs_coeffs: 506749
iter   20 | reward:  24 |  update_factor: 0.018532  lr: 0.180922 | sum_coeffs: -296 sum_abs_coeffs: 509951
iter   21 | reward:  23 |  update_factor: 0.018458  lr: 0.180017 | sum_coeffs: -434 sum_abs_coeffs: 513844
iter   22 | reward:  22 |  update_factor: 0.018384  lr: 0.179117 | sum_coeffs: -504 sum_abs_coeffs: 517905
iter   23 | reward:  25 |  update_factor: 0.018310  lr: 0.178222 | sum_coeffs: -530 sum_abs_coeffs: 519787
iter   24 | reward:  24 |  update_factor: 0.018237  lr: 0.177331 | sum_coeffs: -485 sum_abs_coeffs: 523044
iter   25 | reward:  24 |  update_factor: 0.018164  lr: 0.176444 | sum_coeffs: -504 sum_abs_coeffs: 526696
iter   26 | reward:  24 |  update_factor: 0.018091  lr: 0.175562 | sum_coeffs: -493 sum_abs_coeffs: 529761
iter   27 | reward:  24 |  update_factor: 0.018019  lr: 0.174684 | sum_coeffs: -502 sum_abs_coeffs: 532752
iter   28 | reward:  25 |  update_factor: 0.017947  lr: 0.173811 | sum_coeffs: -522 sum_abs_coeffs: 536354
iter   29 | reward:  25 |  update_factor: 0.017875  lr: 0.172942 | sum_coeffs: -517 sum_abs_coeffs: 540296
iter   30 | reward:  22 |  update_factor: 0.017803  lr: 0.172077 | sum_coeffs: -612 sum_abs_coeffs: 542802
iter   31 | reward:  23 |  update_factor: 0.017732  lr: 0.171216 | sum_coeffs: -552 sum_abs_coeffs: 545340
iter   32 | reward:  27 |  update_factor: 0.017661  lr: 0.170360 | sum_coeffs: -412 sum_abs_coeffs: 547738
iter   33 | reward:  23 |  update_factor: 0.017590  lr: 0.169509 | sum_coeffs: -516 sum_abs_coeffs: 550334
iter   34 | reward:  25 |  update_factor: 0.017520  lr: 0.168661 | sum_coeffs: -496 sum_abs_coeffs: 552912
iter   35 | reward:  25 |  update_factor: 0.017450  lr: 0.167818 | sum_coeffs: -433 sum_abs_coeffs: 555196
iter   36 | reward:  23 |  update_factor: 0.017380  lr: 0.166979 | sum_coeffs: -529 sum_abs_coeffs: 558045
iter   37 | reward:  23 |  update_factor: 0.017310  lr: 0.166144 | sum_coeffs: -654 sum_abs_coeffs: 560303
iter   38 | reward:  26 |  update_factor: 0.017241  lr: 0.165313 | sum_coeffs: -619 sum_abs_coeffs: 562077
iter   39 | reward:  24 |  update_factor: 0.017172  lr: 0.164486 | sum_coeffs: -733 sum_abs_coeffs: 564514
iter   40 | reward:  25 |  update_factor: 0.017103  lr: 0.163664 | sum_coeffs: -761 sum_abs_coeffs: 566539
iter   41 | reward:  24 |  update_factor: 0.017035  lr: 0.162846 | sum_coeffs: -651 sum_abs_coeffs: 569006
iter   42 | reward:  26 |  update_factor: 0.016966  lr: 0.162031 | sum_coeffs: -552 sum_abs_coeffs: 570415
iter   43 | reward:  25 |  update_factor: 0.016899  lr: 0.161221 | sum_coeffs: -641 sum_abs_coeffs: 573389
iter   44 | reward:  22 |  update_factor: 0.016831  lr: 0.160415 | sum_coeffs: -594 sum_abs_coeffs: 575655
iter   45 | reward:  24 |  update_factor: 0.016763  lr: 0.159613 | sum_coeffs: -689 sum_abs_coeffs: 578002
iter   46 | reward:  23 |  update_factor: 0.016696  lr: 0.158815 | sum_coeffs: -550 sum_abs_coeffs: 580187
iter   47 | reward:  22 |  update_factor: 0.016630  lr: 0.158021 | sum_coeffs: -632 sum_abs_coeffs: 582479
iter   48 | reward:  23 |  update_factor: 0.016563  lr: 0.157231 | sum_coeffs: -716 sum_abs_coeffs: 584782
iter   49 | reward:  26 |  update_factor: 0.016497  lr: 0.156445 | sum_coeffs: -652 sum_abs_coeffs: 586659
iter   50 | reward:  23 |  update_factor: 0.016431  lr: 0.155663 | sum_coeffs: -651 sum_abs_coeffs: 589112
iter   51 | reward:  26 |  update_factor: 0.016365  lr: 0.154884 | sum_coeffs: -740 sum_abs_coeffs: 590821
iter   52 | reward:  25 |  update_factor: 0.016299  lr: 0.154110 | sum_coeffs: -769 sum_abs_coeffs: 592480
iter   53 | reward:  24 |  update_factor: 0.016234  lr: 0.153339 | sum_coeffs: -679 sum_abs_coeffs: 595037
iter   54 | reward:  27 |  update_factor: 0.016169  lr: 0.152573 | sum_coeffs: -530 sum_abs_coeffs: 597488
iter   55 | reward:  26 |  update_factor: 0.016104  lr: 0.151810 | sum_coeffs: -631 sum_abs_coeffs: 598924
iter   56 | reward:  24 |  update_factor: 0.016040  lr: 0.151051 | sum_coeffs: -636 sum_abs_coeffs: 600926
iter   57 | reward:  23 |  update_factor: 0.015976  lr: 0.150295 | sum_coeffs: -611 sum_abs_coeffs: 603437
iter   58 | reward:  27 |  update_factor: 0.015912  lr: 0.149544 | sum_coeffs: -767 sum_abs_coeffs: 605938
iter   59 | reward:  24 |  update_factor: 0.015848  lr: 0.148796 | sum_coeffs: -797 sum_abs_coeffs: 607979
iter   60 | reward:  25 |  update_factor: 0.015784  lr: 0.148052 | sum_coeffs: -815 sum_abs_coeffs: 609965
iter   61 | reward:  26 |  update_factor: 0.015721  lr: 0.147312 | sum_coeffs: -814 sum_abs_coeffs: 611446
iter   62 | reward:  26 |  update_factor: 0.015658  lr: 0.146575 | sum_coeffs: -919 sum_abs_coeffs: 613353
iter   63 | reward:  25 |  update_factor: 0.015596  lr: 0.145842 | sum_coeffs: -931 sum_abs_coeffs: 615214
iter   64 | reward:  24 |  update_factor: 0.015533  lr: 0.145113 | sum_coeffs: -969 sum_abs_coeffs: 617190
iter   65 | reward:  26 |  update_factor: 0.015471  lr: 0.144388 | sum_coeffs: -870 sum_abs_coeffs: 618555
iter   66 | reward:  21 |  update_factor: 0.015409  lr: 0.143666 | sum_coeffs: -742 sum_abs_coeffs: 620645
iter   67 | reward:  26 |  update_factor: 0.015347  lr: 0.142947 | sum_coeffs: -687 sum_abs_coeffs: 623174
iter   68 | reward:  28 |  update_factor: 0.015286  lr: 0.142233 | sum_coeffs: -541 sum_abs_coeffs: 624534
iter   69 | reward:  25 |  update_factor: 0.015225  lr: 0.141522 | sum_coeffs: -674 sum_abs_coeffs: 626586
iter   70 | reward:  26 |  update_factor: 0.015164  lr: 0.140814 | sum_coeffs: -773 sum_abs_coeffs: 628211
iter   71 | reward:  27 |  update_factor: 0.015103  lr: 0.140110 | sum_coeffs: -813 sum_abs_coeffs: 630176
iter   72 | reward:  21 |  update_factor: 0.015042  lr: 0.139409 | sum_coeffs: -818 sum_abs_coeffs: 632098
iter   73 | reward:  24 |  update_factor: 0.014982  lr: 0.138712 | sum_coeffs: -814 sum_abs_coeffs: 633215
iter   74 | reward:  26 |  update_factor: 0.014922  lr: 0.138019 | sum_coeffs: -796 sum_abs_coeffs: 634736
iter   75 | reward:  26 |  update_factor: 0.014862  lr: 0.137329 | sum_coeffs: -797 sum_abs_coeffs: 636571
iter   76 | reward:  24 |  update_factor: 0.014803  lr: 0.136642 | sum_coeffs: -736 sum_abs_coeffs: 637842
iter   77 | reward:  25 |  update_factor: 0.014744  lr: 0.135959 | sum_coeffs: -628 sum_abs_coeffs: 639253
iter   78 | reward:  27 |  update_factor: 0.014685  lr: 0.135279 | sum_coeffs: -493 sum_abs_coeffs: 640762
iter   79 | reward:  28 |  update_factor: 0.014626  lr: 0.134603 | sum_coeffs: -524 sum_abs_coeffs: 642336
iter   80 | reward:  23 |  update_factor: 0.014567  lr: 0.133930 | sum_coeffs: -506 sum_abs_coeffs: 643988
iter   81 | reward:  25 |  update_factor: 0.014509  lr: 0.133260 | sum_coeffs: -498 sum_abs_coeffs: 645669
iter   82 | reward:  25 |  update_factor: 0.014451  lr: 0.132594 | sum_coeffs: -521 sum_abs_coeffs: 647112
iter   83 | reward:  25 |  update_factor: 0.014393  lr: 0.131931 | sum_coeffs: -584 sum_abs_coeffs: 648346
iter   84 | reward:  27 |  update_factor: 0.014335  lr: 0.131271 | sum_coeffs: -561 sum_abs_coeffs: 649693
iter   85 | reward:  28 |  update_factor: 0.014278  lr: 0.130615 | sum_coeffs: -487 sum_abs_coeffs: 651361
iter   86 | reward:  27 |  update_factor: 0.014221  lr: 0.129962 | sum_coeffs: -479 sum_abs_coeffs: 652896
iter   87 | reward:  27 |  update_factor: 0.014164  lr: 0.129312 | sum_coeffs: -514 sum_abs_coeffs: 653806
iter   88 | reward:  28 |  update_factor: 0.014107  lr: 0.128665 | sum_coeffs: -618 sum_abs_coeffs: 655152
iter   89 | reward:  27 |  update_factor: 0.014051  lr: 0.128022 | sum_coeffs: -529 sum_abs_coeffs: 656457
iter   90 | reward:  26 |  update_factor: 0.013994  lr: 0.127382 | sum_coeffs: -578 sum_abs_coeffs: 657871
iter   91 | reward:  28 |  update_factor: 0.013938  lr: 0.126745 | sum_coeffs: -446 sum_abs_coeffs: 659139
iter   92 | reward:  27 |  update_factor: 0.013883  lr: 0.126111 | sum_coeffs: -428 sum_abs_coeffs: 660776
iter   93 | reward:  28 |  update_factor: 0.013827  lr: 0.125481 | sum_coeffs: -338 sum_abs_coeffs: 662050
iter   94 | reward:  29 |  update_factor: 0.013772  lr: 0.124853 | sum_coeffs: -270 sum_abs_coeffs: 663361
iter   95 | reward:  28 |  update_factor: 0.013717  lr: 0.124229 | sum_coeffs: -213 sum_abs_coeffs: 664085
iter   96 | reward:  30 |  update_factor: 0.013662  lr: 0.123608 | sum_coeffs: -211 sum_abs_coeffs: 665018
iter   97 | reward:  26 |  update_factor: 0.013607  lr: 0.122990 | sum_coeffs: -193 sum_abs_coeffs: 666044
iter   98 | reward:  28 |  update_factor: 0.013552  lr: 0.122375 | sum_coeffs: -250 sum_abs_coeffs: 667526
iter   99 | reward:  25 |  update_factor: 0.013498  lr: 0.121763 | sum_coeffs: -162 sum_abs_coeffs: 668915
iter  100 | reward:  28 |  update_factor: 0.013444  lr: 0.121154 | sum_coeffs: -182 sum_abs_coeffs: 669911
