iter    1 | reward:   4 | max_reward:  15 |  update_factor: 0.020000  lr: 0.199000 | sum_coeffs: 661 sum_abs_coeffs: 434318
iter    2 | reward:   6 | max_reward:  17 |  update_factor: 0.019920  lr: 0.198005 | sum_coeffs: 708 sum_abs_coeffs: 438450
iter    3 | reward:  10 | max_reward:  20 |  update_factor: 0.019840  lr: 0.197015 | sum_coeffs: 707 sum_abs_coeffs: 444548
iter    4 | reward:  12 | max_reward:  24 |  update_factor: 0.019761  lr: 0.196030 | sum_coeffs: 605 sum_abs_coeffs: 449800
iter    5 | reward:  13 | max_reward:  28 |  update_factor: 0.019682  lr: 0.195050 | sum_coeffs: 615 sum_abs_coeffs: 454181
iter    6 | reward:  13 | max_reward:  27 |  update_factor: 0.019603  lr: 0.194075 | sum_coeffs: 520 sum_abs_coeffs: 457998
iter    7 | reward:  16 | max_reward:  30 |  update_factor: 0.019524  lr: 0.193104 | sum_coeffs: 419 sum_abs_coeffs: 463249
iter    8 | reward:  17 | max_reward:  37 |  update_factor: 0.019446  lr: 0.192139 | sum_coeffs: 494 sum_abs_coeffs: 466789
iter    9 | reward:  16 | max_reward:  35 |  update_factor: 0.019368  lr: 0.191178 | sum_coeffs: 528 sum_abs_coeffs: 468574
iter   10 | reward:  17 | max_reward:  37 |  update_factor: 0.019291  lr: 0.190222 | sum_coeffs: 454 sum_abs_coeffs: 471265
iter   11 | reward:  17 | max_reward:  33 |  update_factor: 0.019213  lr: 0.189271 | sum_coeffs: 507 sum_abs_coeffs: 473558
iter   12 | reward:  20 | max_reward:  46 |  update_factor: 0.019137  lr: 0.188325 | sum_coeffs: 540 sum_abs_coeffs: 477304
iter   13 | reward:  19 | max_reward:  35 |  update_factor: 0.019060  lr: 0.187383 | sum_coeffs: 640 sum_abs_coeffs: 480858
iter   14 | reward:  19 | max_reward:  38 |  update_factor: 0.018984  lr: 0.186446 | sum_coeffs: 579 sum_abs_coeffs: 484610
iter   15 | reward:  17 | max_reward:  39 |  update_factor: 0.018908  lr: 0.185514 | sum_coeffs: 487 sum_abs_coeffs: 489030
iter   16 | reward:  20 | max_reward:  36 |  update_factor: 0.018832  lr: 0.184586 | sum_coeffs: 612 sum_abs_coeffs: 492309
iter   17 | reward:  14 | max_reward:  30 |  update_factor: 0.018756  lr: 0.183663 | sum_coeffs: 603 sum_abs_coeffs: 496823
iter   18 | reward:  18 | max_reward:  35 |  update_factor: 0.018681  lr: 0.182745 | sum_coeffs: 732 sum_abs_coeffs: 500498
iter   19 | reward:  16 | max_reward:  34 |  update_factor: 0.018607  lr: 0.181831 | sum_coeffs: 578 sum_abs_coeffs: 504229
iter   20 | reward:  20 | max_reward:  47 |  update_factor: 0.018532  lr: 0.180922 | sum_coeffs: 632 sum_abs_coeffs: 506345
iter   21 | reward:  21 | max_reward:  44 |  update_factor: 0.018458  lr: 0.180017 | sum_coeffs: 773 sum_abs_coeffs: 508674
iter   22 | reward:  23 | max_reward:  44 |  update_factor: 0.018384  lr: 0.179117 | sum_coeffs: 956 sum_abs_coeffs: 512058
iter   23 | reward:  21 | max_reward:  40 |  update_factor: 0.018310  lr: 0.178222 | sum_coeffs: 817 sum_abs_coeffs: 515001
iter   24 | reward:  20 | max_reward:  40 |  update_factor: 0.018237  lr: 0.177331 | sum_coeffs: 877 sum_abs_coeffs: 518080
iter   25 | reward:  19 | max_reward:  35 |  update_factor: 0.018164  lr: 0.176444 | sum_coeffs: 963 sum_abs_coeffs: 521827
iter   26 | reward:  19 | max_reward:  36 |  update_factor: 0.018091  lr: 0.175562 | sum_coeffs: 942 sum_abs_coeffs: 525550
iter   27 | reward:  21 | max_reward:  39 |  update_factor: 0.018019  lr: 0.174684 | sum_coeffs: 764 sum_abs_coeffs: 528224
iter   28 | reward:  20 | max_reward:  35 |  update_factor: 0.017947  lr: 0.173811 | sum_coeffs: 673 sum_abs_coeffs: 530938
iter   29 | reward:  23 | max_reward:  39 |  update_factor: 0.017875  lr: 0.172942 | sum_coeffs: 680 sum_abs_coeffs: 533839
iter   30 | reward:  22 | max_reward:  42 |  update_factor: 0.017803  lr: 0.172077 | sum_coeffs: 739 sum_abs_coeffs: 537156
iter   31 | reward:  22 | max_reward:  42 |  update_factor: 0.017732  lr: 0.171216 | sum_coeffs: 708 sum_abs_coeffs: 539655
iter   32 | reward:  21 | max_reward:  38 |  update_factor: 0.017661  lr: 0.170360 | sum_coeffs: 857 sum_abs_coeffs: 542230
iter   33 | reward:  22 | max_reward:  37 |  update_factor: 0.017590  lr: 0.169509 | sum_coeffs: 746 sum_abs_coeffs: 545531
