iter    1 | reward:   1 | max_reward:   6 |  update_factor: 0.040000  lr: 0.199000 | sum_coeffs: -441 sum_abs_coeffs: 18391
iter    2 | reward:   3 | max_reward:  24 |  update_factor: 0.039840  lr: 0.198005 | sum_coeffs: -501 sum_abs_coeffs: 18760
iter    3 | reward:   1 | max_reward:   9 |  update_factor: 0.039680  lr: 0.197015 | sum_coeffs: -513 sum_abs_coeffs: 19088
iter    4 | reward:   3 | max_reward:  18 |  update_factor: 0.039521  lr: 0.196030 | sum_coeffs: -521 sum_abs_coeffs: 19405
iter    5 | reward:   3 | max_reward:   9 |  update_factor: 0.039363  lr: 0.195050 | sum_coeffs: -536 sum_abs_coeffs: 19613
iter    6 | reward:   3 | max_reward:  25 |  update_factor: 0.039206  lr: 0.194075 | sum_coeffs: -527 sum_abs_coeffs: 19930
iter    7 | reward:   4 | max_reward:  10 |  update_factor: 0.039049  lr: 0.193104 | sum_coeffs: -588 sum_abs_coeffs: 20234
iter    8 | reward:   0 | max_reward:  16 |  update_factor: 0.038892  lr: 0.192139 | sum_coeffs: -496 sum_abs_coeffs: 20634
iter    9 | reward:   4 | max_reward:  20 |  update_factor: 0.038737  lr: 0.191178 | sum_coeffs: -529 sum_abs_coeffs: 21073
iter   10 | reward:   4 | max_reward:  16 |  update_factor: 0.038581  lr: 0.190222 | sum_coeffs: -535 sum_abs_coeffs: 21243
iter   11 | reward:  -3 | max_reward:   9 |  update_factor: 0.038427  lr: 0.189271 | sum_coeffs: -548 sum_abs_coeffs: 21497
iter   12 | reward:   7 | max_reward:  30 |  update_factor: 0.038273  lr: 0.188325 | sum_coeffs: -551 sum_abs_coeffs: 21870
iter   13 | reward:   2 | max_reward:   9 |  update_factor: 0.038120  lr: 0.187383 | sum_coeffs: -592 sum_abs_coeffs: 22120
iter   14 | reward:   4 | max_reward:  22 |  update_factor: 0.037967  lr: 0.186446 | sum_coeffs: -585 sum_abs_coeffs: 22424
iter   15 | reward:   2 | max_reward:  14 |  update_factor: 0.037815  lr: 0.185514 | sum_coeffs: -591 sum_abs_coeffs: 22761
iter   16 | reward:   5 | max_reward:  43 |  update_factor: 0.037664  lr: 0.184586 | sum_coeffs: -599 sum_abs_coeffs: 23036
iter   17 | reward:   1 | max_reward:  17 |  update_factor: 0.037513  lr: 0.183663 | sum_coeffs: -635 sum_abs_coeffs: 23283
iter   18 | reward:   3 | max_reward:   7 |  update_factor: 0.037363  lr: 0.182745 | sum_coeffs: -627 sum_abs_coeffs: 23501
iter   19 | reward:   3 | max_reward:  24 |  update_factor: 0.037213  lr: 0.181831 | sum_coeffs: -650 sum_abs_coeffs: 23881
iter   20 | reward:   9 | max_reward:  35 |  update_factor: 0.037064  lr: 0.180922 | sum_coeffs: -624 sum_abs_coeffs: 24167
iter   21 | reward:   5 | max_reward:  55 |  update_factor: 0.036916  lr: 0.180017 | sum_coeffs: -597 sum_abs_coeffs: 24425
